日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-02-01,2595.17,2567.68,2619.64,2561.27,53251773,54769199872.0,2.24,-1.3,-33.71,0.12
2012-02-02,2575.52,2625.39,2625.39,2568.6,63854889,64604077312.0,2.21,2.25,57.71,0.14
2012-02-03,2618.32,2651.64,2659.45,2611.78,82117553,80681906176.0,1.82,1.0,26.25,0.19
2012-02-06,2656.51,2655.69,2668.19,2638.35,76329106,76238061568.0,1.13,0.15,4.05,0.17
2012-02-07,2640.63,2607.94,2640.63,2590.73,66494940,64433155584.0,1.88,-1.8,-47.75,0.15
2012-02-08,2605.62,2681.15,2683.92,2599.62,89708406,92622237696.0,3.23,2.81,73.21,0.2
2012-02-09,2678.32,2686.49,2705.75,2667.52,103197962,102024404992.0,1.43,0.2,5.34,0.23
2012-02-10,2679.3,2693.46,2718.11,2678.5,101359068,93819469824.0,1.47,0.26,6.97,0.23
2012-02-13,2664.42,2698.04,2718.09,2654.88,90152049,88464076800.0,2.35,0.17,4.58,0.2
2012-02-14,2695.0,2690.97,2700.3,2673.32,76334927,75765932032.0,1.0,-0.26,-7.07,0.17
2012-02-15,2684.82,2723.12,2733.49,2678.68,101716101,99129098240.0,2.04,1.19,32.15,0.23
2012-02-16,2718.03,2712.04,2736.37,2691.82,98173396,93629476864.0,1.64,-0.41,-11.08,0.22
2012-02-17,2725.72,2710.63,2733.21,2692.94,71802767,70207176704.0,1.48,-0.05,-1.41,0.16
2012-02-20,2747.18,2715.26,2750.94,2714.46,96545925,94237536256.0,1.35,0.17,4.63,0.22
2012-02-21,2717.61,2740.97,2741.31,2691.75,84698583,83033022464.0,1.83,0.95,25.71,0.19
2012-02-22,2742.26,2782.4,2782.6,2739.74,128168328,125519171584.0,1.56,1.51,41.43,0.29
2012-02-23,2780.6,2791.69,2799.71,2771.85,117325814,117348372480.0,1.0,0.33,9.29,0.27
2012-02-24,2792.15,2835.8,2835.8,2786.78,142589135,138548936704.0,1.76,1.58,44.11,0.32
