日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-02-01,9277.79,9193.39,9403.37,9173.07,35221792,40039985152.0,2.48,-1.19,-110.26,0.15
2012-02-02,9222.24,9382.13,9382.13,9174.72,39621452,44780892160.0,2.26,2.05,188.74,0.17
2012-02-03,9349.28,9436.99,9472.02,9292.78,53875168,58966315008.0,1.91,0.58,54.86,0.23
2012-02-06,9451.17,9448.64,9526.79,9404.49,53652672,59911475200.0,1.3,0.12,11.65,0.22
2012-02-07,9393.76,9266.71,9393.76,9206.86,46551456,50740752384.0,1.98,-1.93,-181.93,0.2
2012-02-08,9259.64,9557.58,9605.2,9236.16,56991340,64431910912.0,3.98,3.14,290.87,0.24
2012-02-09,9548.22,9560.73,9630.35,9493.93,71838432,77861134336.0,1.43,0.03,3.15,0.3
2012-02-10,9539.7,9590.95,9699.3,9539.7,64097912,69559451648.0,1.67,0.32,30.22,0.27
2012-02-13,9463.95,9585.08,9670.78,9420.4,65569172,73851985920.0,2.61,-0.06,-5.87,0.27
2012-02-14,9574.87,9543.78,9597.08,9478.59,57497840,62602125312.0,1.24,-0.43,-41.3,0.24
2012-02-15,9523.65,9673.44,9725.22,9515.79,74306992,79841910784.0,2.19,1.36,129.66,0.31
2012-02-16,9647.15,9622.83,9727.03,9557.94,74484472,80416636928.0,1.75,-0.52,-50.61,0.31
2012-02-17,9681.45,9615.34,9719.53,9553.59,56325952,62368247808.0,1.72,-0.08,-7.49,0.24
2012-02-20,9741.15,9616.65,9755.76,9616.65,70208024,76457943040.0,1.45,0.01,1.31,0.29
2012-02-21,9632.44,9695.87,9695.87,9539.83,65651448,74179166208.0,1.62,0.82,79.22,0.28
2012-02-22,9709.93,9862.54,9865.77,9701.56,92465440,106061643776.0,1.69,1.72,166.67,0.39
2012-02-23,9859.43,9918.94,9958.75,9840.05,85064120,99420545024.0,1.2,0.57,56.4,0.36
2012-02-24,9922.16,10124.15,10131.13,9907.03,90503616,102042288128.0,2.26,2.07,205.21,0.38
2012-02-27,10157.18,10177.33,10333.92,10157.18,108120568,125453787136.0,1.75,0.53,53.18,0.45
2012-02-28,10155.04,10161.86,10233.07,10087.06,87713144,102223642624.0,1.43,-0.15,-15.47,0.37
2012-02-29,10126.68,10054.84,10214.63,10048.79,67073128,80349429760.0,1.63,-1.05,-107.02,0.28
2012-03-01,10011.12,10060.96,10125.67,10011.12,55810880,68220121088.0,1.14,0.06,6.12,0.23
2012-03-02,10078.82,10299.93,10301.64,10078.82,73426672,84813586432.0,2.21,2.38,238.97,0.31
2012-03-05,10338.0,10226.44,10379.46,10217.53,81279848,97852801024.0,1.57,-0.71,-73.49,0.34
2012-03-06,10193.23,10093.81,10225.05,10070.49,75709712,90050404352.0,1.51,-1.3,-132.63,0.32
2012-03-07,9997.89,10054.87,10173.66,9991.33,70884952,84007313408.0,1.81,-0.39,-38.94,0.3
2012-03-08,10092.13,10171.13,10228.24,10084.52,68459192,81483309056.0,1.43,1.16,116.26,0.29
2012-03-09,10202.95,10334.38,10334.38,10161.72,73678256,93124788224.0,1.7,1.61,163.25,0.31
2012-03-12,10322.95,10300.5,10373.92,10228.39,75432328,97779040256.0,1.41,-0.33,-33.88,0.32
2012-03-13,10308.64,10427.24,10427.24,10292.04,76612064,98007449600.0,1.31,1.23,126.74,0.32
2012-03-14,10487.29,10094.89,10529.0,10063.79,123190584,154285424640.0,4.46,-3.19,-332.35,0.52
2012-03-15,10101.28,10086.56,10173.38,10013.43,83177880,101403066368.0,1.58,-0.08,-8.33,0.35
2012-03-16,10115.31,10279.3,10284.25,10071.58,71781760,92380069888.0,2.11,1.91,192.74,0.3
2012-03-19,10256.51,10296.17,10306.46,10186.08,70166400,92013707264.0,1.17,0.16,16.87,0.29
2012-03-20,10255.25,10116.39,10255.25,10110.38,67812120,84786536448.0,1.41,-1.75,-179.78,0.28
2012-03-21,10152.3,10090.44,10225.54,10006.92,64702608,84423974912.0,2.16,-0.26,-25.95,0.27
2012-03-22,10082.25,10038.95,10116.95,10008.88,53726112,66897903616.0,1.07,-0.51,-51.49,0.23
2012-03-23,10002.9,9885.25,10029.44,9858.37,52465076,65001361408.0,1.7,-1.53,-153.7,0.22
2012-03-26,9871.89,9946.14,9956.36,9871.89,42128104,52591251456.0,0.85,0.62,60.89,0.18
2012-03-27,9959.44,9841.38,10008.68,9830.51,45763336,59188457472.0,1.79,-1.05,-104.76,0.19
2012-03-28,9800.29,9531.15,9824.62,9515.98,60848108,72169570304.0,3.14,-3.15,-310.23,0.25
2012-03-29,9478.12,9418.23,9565.01,9352.17,53249492,60013543424.0,2.23,-1.18,-112.92,0.22
2012-03-30,9426.64,9410.26,9505.14,9365.53,43354656,49767256064.0,1.48,-0.08,-7.97,0.18
2012-04-05,9410.97,9709.03,9737.9,9388.78,51154396,59898806272.0,3.71,3.17,298.77,0.21
2012-04-06,9704.88,9786.19,9811.68,9684.37,50033684,59395551232.0,1.31,0.79,77.16,0.21
2012-04-09,9739.07,9710.91,9802.23,9650.57,44614896,51254751232.0,1.55,-0.77,-75.28,0.19
2012-04-10,9682.83,9795.97,9795.97,9516.89,53561928,58762801152.0,2.87,0.88,85.06,0.22
2012-04-11,9683.11,9802.32,9920.34,9666.54,55815048,58957873152.0,2.59,0.06,6.35,0.23
2012-04-12,9817.78,10007.65,10013.2,9779.68,71509880,76548169728.0,2.38,2.09,205.33,0.3
2012-04-13,10043.26,10043.71,10116.12,10008.67,77337560,84839874560.0,1.07,0.36,36.06,0.32
2012-04-16,9975.63,10000.31,10063.67,9954.89,66675224,68577988608.0,1.08,-0.43,-43.4,0.28
2012-04-17,9999.2,9839.92,10022.54,9837.78,65498484,66909372416.0,1.85,-1.6,-160.39,0.27
2012-04-18,9888.05,10069.53,10082.82,9842.07,73459616,81284374528.0,2.45,2.33,229.61,0.31
2012-04-19,10049.77,10015.41,10080.0,9971.62,63631328,73166069760.0,1.08,-0.54,-54.12,0.27
2012-04-20,10004.28,10131.04,10144.54,9996.72,70004288,77845569536.0,1.48,1.15,115.63,0.29
2012-04-23,10142.0,10076.05,10154.51,10034.25,78497384,87022403584.0,1.19,-0.54,-54.99,0.33
2012-04-24,10010.35,10041.89,10180.08,9841.44,82217552,86116581376.0,3.36,-0.34,-34.16,0.34
2012-04-25,10012.85,10162.01,10182.09,9993.69,81483328,80915333120.0,1.88,1.2,120.12,0.34
2012-04-26,10182.46,10201.65,10258.57,10152.05,75356704,78361477120.0,1.05,0.39,39.64,0.32
2012-04-27,10191.09,10180.39,10244.97,10172.52,58066796,62047051776.0,0.71,-0.21,-21.26,0.24
2012-05-02,10319.48,10424.94,10500.15,10253.04,72376888,82099798016.0,2.43,2.4,244.55,0.3
2012-05-03,10415.29,10468.38,10479.6,10400.32,65922156,77350592512.0,0.76,0.42,43.44,0.28
2012-05-04,10464.59,10573.6,10576.21,10410.94,70541408,81756790784.0,1.58,1.01,105.22,0.3
